recorded_at,model_name,provider_code,session_id,request_id,prompt_tokens,completion_tokens,cached_tokens,cost_usd,project,tags
2026-08-19 08:19:00,deepseek-v4-pro,deepseek,writing,req-deepseek-550548,112187,29168,0,7.954760,tut-tracker,dev
2026-08-31 00:28:00,deepseek-v4-pro,deepseek,writing,req-deepseek-398700,137508,122382,52253,2.693345,docs,research
2026-08-28 08:55:00,deepseek-v4-pro,deepseek,research,req-deepseek-649971,256702,146320,23103,,website,arch
2026-09-04 22:14:00,gpt-5.5,openai,writing,req-openai-787875,133900,101764,16068,,website,arch
2026-08-20 03:45:00,claude-sonnet-5,anthropic,research,req-anthropic-289222,88973,59611,29361,4.994400,docs,daily
2026-08-23 15:10:00,claude-sonnet-5,anthropic,chat,req-anthropic-683563,106478,92635,38332,,tut-tracker,arch
2026-08-27 20:56:00,gpt-5.5,openai,research,req-openai-833187,114669,28667,44720,,tut-tracker,dev
2026-08-25 01:54:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-919309,178488,87459,55331,,docs,
2026-09-06 00:55:00,deepseek-v4-pro,deepseek,research,req-deepseek-733814,118419,47367,24867,,tut-tracker,dev
2026-09-02 03:59:00,gpt-5.6-luna,openai,data-analysis,req-openai-999607,79185,62556,12669,2.990297,docs,research
2026-09-07 23:08:00,deepseek-v4-pro,deepseek,chat,req-deepseek-664661,79835,52691,11975,,docs,daily
2026-08-19 07:59:00,claude-sonnet-5,anthropic,research,req-anthropic-419391,145488,29097,49465,,,dev
2026-09-07 19:50:00,claude-sonnet-5,anthropic,research,req-anthropic-868006,32161,23477,3859,,,arch
2026-09-06 10:39:00,deepseek-v4-flash,deepseek,coding,req-deepseek-911691,61556,16620,3693,6.984000,website,
2026-08-28 21:19:00,gpt-5.6-luna,openai,data-analysis,req-openai-262046,11612,7663,2786,,,arch
2026-08-31 19:36:00,deepseek-v4-flash,deepseek,chat,req-deepseek-713996,20100,12663,6834,,,
2026-08-19 16:23:00,claude-sonnet-5,anthropic,research,req-anthropic-920100,7114,1636,142,5.674087,tut-tracker,dev
2026-08-19 20:02:00,deepseek-v4-pro,deepseek,research,req-deepseek-159327,35393,12033,1769,,docs,dev
2026-08-19 07:00:00,deepseek-v4-flash,deepseek,research,req-deepseek-401953,119922,61160,41972,5.662589,tut-tracker,dev
2026-09-06 15:12:00,claude-opus-5,anthropic,data-analysis,req-anthropic-490529,284050,218718,53969,,,daily
2026-08-30 05:56:00,gpt-5.5,openai,research,req-openai-870392,59884,48506,15569,,tut-tracker,
2026-08-26 04:04:00,deepseek-v4-flash,deepseek,writing,req-deepseek-370328,15153,12425,2727,0.554820,,
2026-08-26 06:01:00,claude-opus-5,anthropic,data-analysis,req-anthropic-847356,19772,8501,6920,,website,dev
2026-08-29 00:04:00,deepseek-v4-flash,deepseek,coding,req-deepseek-510816,164307,88725,19716,3.750687,tut-tracker,dev
2026-08-21 13:09:00,claude-sonnet-5,anthropic,coding,req-anthropic-894101,97925,66589,14688,,docs,daily
2026-08-28 22:28:00,claude-opus-5,anthropic,data-analysis,req-anthropic-505500,260584,211073,101627,,,daily
2026-08-20 14:31:00,gpt-5.6-luna,openai,data-analysis,req-openai-519959,154587,64926,18550,,website,arch
2026-09-02 13:43:00,gpt-5.6-sol,openai,research,req-openai-699711,207373,82949,39400,2.623485,docs,dev
2026-08-22 13:33:00,gpt-5.6-sol,openai,research,req-openai-620886,57530,28189,4027,4.264697,docs,
2026-08-27 22:28:00,deepseek-v4-flash,deepseek,research,req-deepseek-739389,72895,22597,6560,,docs,research
2026-08-28 14:05:00,gpt-5.6-luna,openai,data-analysis,req-openai-780261,112118,90815,23544,2.131813,tut-tracker,research
2026-08-24 18:55:00,gpt-5.5,openai,chat,req-openai-454459,233366,205362,0,6.471831,docs,research
2026-08-27 14:11:00,claude-sonnet-5,anthropic,research,req-anthropic-942871,46061,36848,17042,,,daily
2026-08-30 22:59:00,deepseek-v4-pro,deepseek,coding,req-deepseek-497052,159653,100581,1596,4.569884,docs,
2026-08-25 05:09:00,gpt-5.6-sol,openai,coding,req-openai-471845,66142,27118,11244,,tut-tracker,dev
2026-09-01 23:09:00,gpt-5.6-luna,openai,research,req-openai-145300,32108,19906,7705,,,arch
2026-08-31 15:00:00,deepseek-v4-pro,deepseek,writing,req-deepseek-770586,256658,79563,92396,1.508854,website,
2026-08-25 23:37:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-425131,25689,5908,0,1.546562,docs,
2026-09-01 20:36:00,gpt-5.5,openai,writing,req-openai-369698,175173,52551,36786,,tut-tracker,dev
2026-08-26 12:25:00,deepseek-v4-flash,deepseek,coding,req-deepseek-240245,160353,67348,17638,4.591762,docs,dev
2026-08-19 14:13:00,gpt-5.5,openai,chat,req-openai-974015,226162,47494,81418,7.845393,,daily
2026-09-03 14:29:00,deepseek-v4-flash,deepseek,chat,req-deepseek-722291,95572,51608,37273,,tut-tracker,arch
2026-08-22 14:40:00,deepseek-v4-pro,deepseek,coding,req-deepseek-458968,115209,28802,20737,,website,
2026-09-03 04:44:00,deepseek-v4-pro,deepseek,data-analysis,req-deepseek-825244,129066,99380,27103,4.635442,docs,daily
2026-08-25 12:45:00,deepseek-v4-pro,deepseek,data-analysis,req-deepseek-288140,121263,87309,8488,3.317083,,arch
2026-08-23 09:35:00,deepseek-v4-pro,deepseek,writing,req-deepseek-721129,55092,23689,18731,1.917032,,dev
2026-09-02 01:03:00,gpt-5.6-sol,openai,chat,req-openai-632138,49084,11289,9325,,docs,dev
2026-08-25 10:53:00,claude-sonnet-5,anthropic,research,req-anthropic-551421,53313,17593,6397,,website,arch
2026-08-20 18:23:00,gpt-5.5,openai,data-analysis,req-openai-455693,67411,19549,16852,,docs,arch
2026-09-07 01:03:00,claude-sonnet-5,anthropic,data-analysis,req-anthropic-965877,132988,89101,1329,4.131043,website,
2026-08-31 19:28:00,deepseek-v4-pro,deepseek,data-analysis,req-deepseek-247813,14479,8397,3330,0.498115,docs,arch
2026-08-31 04:13:00,deepseek-v4-pro,deepseek,research,req-deepseek-553527,8218,5834,3287,5.376867,docs,dev
2026-09-07 20:39:00,claude-opus-5,anthropic,data-analysis,req-anthropic-506023,107421,71972,19335,,tut-tracker,dev
2026-08-24 09:50:00,claude-sonnet-5,anthropic,writing,req-anthropic-552774,37230,21965,372,6.603839,,
2026-08-26 21:05:00,claude-sonnet-5,anthropic,research,req-anthropic-771291,99984,64989,29995,4.980830,docs,arch
2026-08-25 08:05:00,gpt-5.5,openai,research,req-openai-259699,125886,91896,39024,1.575392,docs,daily
2026-08-20 21:59:00,gpt-5.5,openai,research,req-openai-812407,180718,157224,65058,,docs,arch
2026-09-03 07:31:00,gpt-5.6-luna,openai,coding,req-openai-787307,144516,115612,39019,6.182627,website,dev
2026-08-26 21:33:00,deepseek-v4-pro,deepseek,writing,req-deepseek-366665,95682,44013,24877,2.605384,website,arch
2026-08-31 12:06:00,deepseek-v4-flash,deepseek,chat,req-deepseek-828194,150529,58706,21074,6.361663,website,
2026-08-26 17:25:00,deepseek-v4-flash,deepseek,research,req-deepseek-534120,112849,32726,19184,,website,
2026-08-24 19:52:00,claude-sonnet-5,anthropic,chat,req-anthropic-748401,96537,20272,29926,,docs,arch
2026-09-06 10:27:00,gpt-5.6-luna,openai,coding,req-openai-741473,83637,40982,10872,,tut-tracker,
2026-09-07 07:02:00,deepseek-v4-flash,deepseek,research,req-deepseek-621948,131102,97015,18354,,website,research
2026-08-27 14:40:00,deepseek-v4-pro,deepseek,data-analysis,req-deepseek-709272,214518,154452,34322,1.854126,website,
2026-08-27 23:37:00,gpt-5.5,openai,coding,req-openai-576787,161898,85805,3237,5.330743,website,
2026-08-28 08:44:00,gpt-5.6-sol,openai,coding,req-openai-543689,128728,111993,14160,,docs,research
2026-08-29 06:22:00,claude-opus-5,anthropic,chat,req-anthropic-317743,61284,53317,18385,1.640751,docs,arch
2026-09-05 01:34:00,claude-sonnet-5,anthropic,coding,req-anthropic-588811,41688,18759,7086,7.388271,,dev
2026-09-05 14:17:00,gpt-5.6-sol,openai,chat,req-openai-213623,129864,89606,42855,,website,research
2026-08-20 04:15:00,claude-opus-5,anthropic,coding,req-anthropic-597253,226858,70325,68057,3.244744,,
2026-08-29 21:49:00,gpt-5.6-sol,openai,chat,req-openai-758997,212235,142197,6367,1.347693,tut-tracker,
2026-08-23 11:15:00,gpt-5.6-luna,openai,coding,req-openai-995179,39554,15030,6724,,docs,
2026-08-23 18:41:00,deepseek-v4-pro,deepseek,data-analysis,req-deepseek-324700,292313,105232,32154,,docs,dev
2026-09-06 01:30:00,gpt-5.6-luna,openai,research,req-openai-497915,144546,43363,0,,,research
2026-08-31 17:53:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-601054,119263,45319,47705,5.632928,website,dev
2026-08-29 05:14:00,deepseek-v4-flash,deepseek,research,req-deepseek-709054,93067,61424,15821,,,
2026-08-23 15:01:00,gpt-5.5,openai,coding,req-openai-316369,141154,83280,42346,4.438603,tut-tracker,dev
2026-08-30 23:20:00,claude-opus-5,anthropic,coding,req-anthropic-588908,264607,68797,37044,,docs,research
2026-08-27 20:19:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-441235,22618,19903,5654,2.270812,,research
2026-08-31 08:56:00,deepseek-v4-flash,deepseek,coding,req-deepseek-924348,62102,23598,24219,3.934341,tut-tracker,research
2026-08-29 08:06:00,deepseek-v4-pro,deepseek,research,req-deepseek-897705,199641,107806,5989,,website,dev
2026-08-19 21:09:00,deepseek-v4-pro,deepseek,writing,req-deepseek-791974,215217,101151,10760,0.941322,,arch
2026-08-30 10:14:00,deepseek-v4-flash,deepseek,coding,req-deepseek-549906,150617,61752,46691,2.192305,website,arch
2026-09-07 13:12:00,claude-sonnet-5,anthropic,writing,req-anthropic-267669,111745,35758,30171,2.180735,,research
2026-09-05 16:39:00,claude-opus-5,anthropic,chat,req-anthropic-231908,147105,66197,39718,,docs,research
2026-08-28 14:18:00,deepseek-v4-pro,deepseek,writing,req-deepseek-746489,269319,131966,88875,,docs,research
2026-08-23 07:27:00,claude-sonnet-5,anthropic,coding,req-anthropic-670555,49523,16342,5447,3.656320,website,arch
2026-09-01 10:34:00,claude-sonnet-5,anthropic,research,req-anthropic-642292,33906,11528,8476,,tut-tracker,research
2026-09-03 15:38:00,gpt-5.5,openai,chat,req-openai-245371,319911,284720,79977,0.344576,docs,
2026-08-29 21:29:00,gpt-5.5,openai,writing,req-openai-902949,231049,103972,0,,docs,dev
2026-08-28 03:55:00,gpt-5.6-luna,openai,coding,req-openai-114749,175835,117809,49233,,tut-tracker,research
2026-09-02 14:03:00,claude-opus-5,anthropic,chat,req-anthropic-598194,268520,236297,37592,,website,dev
2026-08-24 13:40:00,deepseek-v4-flash,deepseek,research,req-deepseek-930692,176783,130819,53034,,,research
2026-08-23 20:44:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-245588,174750,78637,62910,0.978827,docs,research
2026-09-02 16:12:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-236011,7718,1852,1852,0.738975,website,arch
2026-08-23 01:25:00,gpt-5.5,openai,data-analysis,req-openai-953430,177918,103192,62271,7.187036,,arch
2026-08-28 23:21:00,gpt-5.5,openai,research,req-openai-670758,87787,54427,4389,,website,dev
2026-09-02 19:11:00,claude-sonnet-5,anthropic,research,req-anthropic-269952,57011,31926,7411,7.139160,docs,research
2026-08-31 00:40:00,deepseek-v4-pro,deepseek,research,req-deepseek-651976,256944,61666,95069,,tut-tracker,research
2026-09-06 01:38:00,claude-opus-5,anthropic,writing,req-anthropic-776218,223398,111699,13403,5.739682,tut-tracker,
2026-08-20 09:12:00,gpt-5.6-luna,openai,data-analysis,req-openai-369107,4796,1870,527,,website,dev
2026-09-07 14:46:00,claude-sonnet-5,anthropic,research,req-anthropic-568959,164026,44287,24603,,docs,dev
2026-09-04 04:27:00,deepseek-v4-pro,deepseek,data-analysis,req-deepseek-958426,6212,3913,2298,,website,research
2026-08-26 03:17:00,gpt-5.5,openai,chat,req-openai-996201,153096,76548,61238,5.638209,docs,daily
2026-08-24 05:16:00,gpt-5.6-luna,openai,data-analysis,req-openai-380303,112782,69924,41729,6.363385,tut-tracker,arch
2026-08-26 05:31:00,gpt-5.6-luna,openai,data-analysis,req-openai-404408,101358,36488,19258,5.885207,tut-tracker,
2026-09-05 09:26:00,deepseek-v4-pro,deepseek,coding,req-deepseek-683803,81267,25192,11377,5.251896,website,arch
2026-08-20 08:49:00,deepseek-v4-flash,deepseek,writing,req-deepseek-475571,17328,4505,1039,1.791870,,dev
2026-09-06 04:41:00,gpt-5.6-luna,openai,chat,req-openai-207493,175238,73599,38552,7.743166,tut-tracker,research
2026-09-04 13:39:00,gpt-5.6-luna,openai,research,req-openai-807184,56332,33235,6196,7.496401,docs,research
2026-08-23 22:50:00,gpt-5.5,openai,writing,req-openai-696498,277118,63737,69279,,,
2026-08-29 10:28:00,deepseek-v4-pro,deepseek,data-analysis,req-deepseek-249889,75709,18170,14384,7.151530,,arch
2026-08-30 22:15:00,deepseek-v4-flash,deepseek,research,req-deepseek-786717,33681,18187,336,7.461215,docs,dev
2026-08-22 01:52:00,gpt-5.6-luna,openai,coding,req-openai-335016,97560,45853,3902,0.229103,website,arch
2026-08-27 07:37:00,gpt-5.5,openai,coding,req-openai-595260,313871,207154,9416,,docs,
2026-09-01 00:01:00,deepseek-v4-pro,deepseek,chat,req-deepseek-388578,201331,167104,66439,2.584216,tut-tracker,dev
2026-08-25 20:03:00,gpt-5.6-sol,openai,writing,req-openai-426427,227929,100288,34189,5.386065,website,daily
2026-09-07 05:24:00,claude-sonnet-5,anthropic,coding,req-anthropic-539507,176746,107815,45953,,,daily
2026-09-01 09:25:00,gpt-5.6-luna,openai,coding,req-openai-469928,125548,96671,28876,,,
2026-09-06 11:27:00,claude-sonnet-5,anthropic,chat,req-anthropic-831791,115869,24332,2317,0.269169,docs,daily
2026-09-03 01:27:00,gpt-5.6-luna,openai,writing,req-openai-501566,88218,40580,16761,,tut-tracker,daily
2026-08-23 08:03:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-572829,87551,65663,13132,2.829444,website,arch
2026-09-06 19:50:00,claude-sonnet-5,anthropic,chat,req-anthropic-770842,46336,23631,13900,,tut-tracker,arch
2026-09-03 10:07:00,gpt-5.6-luna,openai,chat,req-openai-749996,170968,61548,39322,1.911138,website,
2026-08-25 23:04:00,deepseek-v4-pro,deepseek,coding,req-deepseek-196109,125950,52899,3778,,website,dev
2026-08-25 07:30:00,claude-opus-5,anthropic,chat,req-anthropic-640943,290207,174124,110278,7.933757,,daily
2026-08-19 05:06:00,gpt-5.5,openai,coding,req-openai-940506,143429,114743,0,0.492218,tut-tracker,research
2026-08-24 19:41:00,gpt-5.5,openai,data-analysis,req-openai-588962,237947,171321,45209,,website,daily
2026-08-29 09:47:00,claude-opus-5,anthropic,research,req-anthropic-931994,194442,46666,25277,,docs,daily
2026-08-27 12:56:00,deepseek-v4-flash,deepseek,data-analysis,req-deepseek-117109,54300,22806,12489,4.720861,,research
2026-08-26 17:18:00,deepseek-v4-flash,deepseek,coding,req-deepseek-543854,63623,19723,25449,3.118593,website,arch
2026-09-04 13:01:00,gpt-5.5,openai,research,req-openai-586728,78779,22845,27572,7.344017,tut-tracker,
2026-08-22 22:30:00,claude-opus-5,anthropic,writing,req-anthropic-148239,285039,188125,19952,,docs,research
2026-09-06 20:48:00,deepseek-v4-pro,deepseek,chat,req-deepseek-704616,20200,16766,1616,0.480951,tut-tracker,dev
2026-08-26 22:46:00,claude-opus-5,anthropic,data-analysis,req-anthropic-283384,128084,69165,16650,,docs,daily
2026-09-06 10:12:00,gpt-5.5,openai,data-analysis,req-openai-516181,138906,68063,16668,1.268088,website,
2026-08-24 08:40:00,claude-sonnet-5,anthropic,data-analysis,req-anthropic-674543,119571,34675,14348,,website,daily
